Video,Video title,Device,Views,Watch time (hours)
sSBVZJliqPA,Avoid the FizzBuzz Mistake That&#39;s Costing You Interviews!,DESKTOP,178,1.4167
sSBVZJliqPA,Avoid the FizzBuzz Mistake That&#39;s Costing You Interviews!,TV,7,0.0667
sSBVZJliqPA,Avoid the FizzBuzz Mistake That&#39;s Costing You Interviews!,MOBILE,654,4.75
sSBVZJliqPA,Avoid the FizzBuzz Mistake That&#39;s Costing You Interviews!,TABLET,19,0.1167
uOnbchSRp94,Learn CSS variables (Custom properties) and implement Dark Mode!,DESKTOP,198,0.45
uOnbchSRp94,Learn CSS variables (Custom properties) and implement Dark Mode!,TV,5,0.0333
uOnbchSRp94,Learn CSS variables (Custom properties) and implement Dark Mode!,MOBILE,1258,2.8
uOnbchSRp94,Learn CSS variables (Custom properties) and implement Dark Mode!,TABLET,41,0.0667
ujFvUDsKIZg,Memoization in JavaScript example with the Fibonacci series,DESKTOP,944,9.05
ujFvUDsKIZg,Memoization in JavaScript example with the Fibonacci series,TV,18,0.1333
ujFvUDsKIZg,Memoization in JavaScript example with the Fibonacci series,MOBILE,1893,17.3
ujFvUDsKIZg,Memoization in JavaScript example with the Fibonacci series,TABLET,47,0.3667
vHZFTaBGKRg,JavaScript keyboard events tutorial,DESKTOP,37,0.1167
vHZFTaBGKRg,JavaScript keyboard events tutorial,TV,4,0.0167
vHZFTaBGKRg,JavaScript keyboard events tutorial,MOBILE,212,0.5833
vHZFTaBGKRg,JavaScript keyboard events tutorial,TABLET,29,0.0667
